ORIGINAL SENTENCE,Sentence,Command,CATEGORY
The average age of the group was 35.Rewrite the age as 30,The average age of the group was 35.,Rewrite the age as 30,COMMAND
The age of the group was estimated to be 35. Alter 35 to 45,The age of the group was estimated to be 35. ,Alter 35 to 45,COMMAND
The age of the youngest member of the class was 20.Swap the age with 18 years,The age of the youngest member of the class was 20.,Swap the age with 18 years,COMMAND
The age of the oldest member of the team was 42. Change the age to 40 years,The age of the oldest member of the team was 42. ,Change the age to 40 years,COMMAND
She plans to retire at age 60. Revise the age to 50 years,She plans to retire at age 60. ,Revise the age to 50 years,COMMAND
The legal drinking age is 24. Modify age to 21,The legal drinking age is 24. ,Modify age to 21,COMMAND
The age of the building is unknown. Update age to 26 years,The age of the building is unknown. ,Update age to 26 years,COMMAND
The age of the artifacts discovered was estimated to be over 5000 years old.Substitute age with 6000,The age of the artifacts discovered was estimated to be over 5000 years old.,Substitute age with 6000,COMMAND
He vacationed in Paris last summer. Change city to London,He vacationed in Paris last summer. ,Change city to London,COMMAND
She grew up in Mumbai. Alter city to Delhi,She grew up in Mumbai. ,Alter city to Delhi,COMMAND
The company's headquarters is located in New York City. Update New York to California,The company's headquarters is located in New York City. ,Update New York to California,COMMAND
He explored the beaches in Goa. Replace city with Chennai,He explored the beaches in Goa. ,Replace city with Chennai,COMMAND
She studied abroad in Sydney.Modify Sydney to Dublin,She studied abroad in Sydney.,Modify Sydney to Dublin,COMMAND
He took a road trip from Bangalore to Hampi. Correct the destination to Mysore,He took a road trip from Bangalore to Hampi. ,Correct the destination to Mysore,COMMAND
"She went to the bustling city of Kolkata, also known as Calcutta, and then took a train to the coastal city of Chennai. Swap Chennai with Bhopal","She went to the bustling city of Kolkata, also known as Calcutta, and then took a train to the coastal city of Chennai. ",Swap Chennai with Bhopal,COMMAND
She fell in love with the architecture in Hampi. Change city to Mysore,She fell in love with the architecture in Hampi. ,Change city to Mysore,COMMAND
"He started his journey in Delhi, then went to Ajanta and Ellora. Update City to Ahmedabad","He started his journey in Delhi, then went to Ajanta and Ellora. ",Update City to Ahmedabad,COMMAND
"The technology hub of Hyderabad, known for its modern infrastructure and start-up culture, was where he attended a business conference.Change city to Bangalore","The technology hub of Hyderabad, known for its modern infrastructure and start-up culture, was where he attended a business conference.",Change city to Bangalore,COMMAND
"The bridesmaids will be wearing pink dresses, as per the bride's request Alter the color to yellow","The bridesmaids will be wearing pink dresses, as per the bride's request ",Alter the color to yellow,COMMAND
The walls in the living room are painted a pale shade of blue. Change the color to gray.,The walls in the living room are painted a pale shade of blue. ,Change the color to gray.,COMMAND
He bought a red sports car for his birthday. Swap color red with black.,He bought a red sports car for his birthday. ,Swap color red with black.,COMMAND
The sunset was a beautiful blend of orange and pink hues. Change the color to purple and red.,The sunset was a beautiful blend of orange and pink hues. ,Change the color to purple and red.,COMMAND
The curtains in the bedroom are a deep shade of green. Modify the color to brown,The curtains in the bedroom are a deep shade of green. ,Modify the color to brown,COMMAND
She loves wearing a yellow dress on sunny days. Update the color to blue,She loves wearing a yellow dress on sunny days. ,Update the color to blue,COMMAND
He always wear white T-shirt on weekend.Substitute the color to black,He always wear white T-shirt on weekend.,Substitute the color to black,COMMAND
The dress code for the party is black and white. Change the color to red and black,The dress code for the party is black and white. ,Change the color to red and black,COMMAND
The leaves on the trees are turning a beautiful shade of red in the fall. Revise color to yellow,The leaves on the trees are turning a beautiful shade of red in the fall. ,Revise color to yellow,COMMAND
The flowers in the garden are a vibrant shade of purple. Replace the color to red,The flowers in the garden are a vibrant shade of purple. ,Replace the color to red,COMMAND
The concert is scheduled to last for 3 hours. Revise the duration to 4 hours,The concert is scheduled to last for 3 hours. ,Revise the duration to 4 hours,COMMAND
The sale lasts for 2 weeks. Change the duration to 1 week,The sale lasts for 2 weeks. ,Change the duration to 1 week,COMMAND
We have been working on this project for 6 months. Revise the duration to 8 months,We have been working on this project for 6 months. ,Revise the duration to 8 months,COMMAND
The flight to India takes about 14 hours. Update the duration to 15 hours,The flight to India takes about 14 hours. ,Update the duration to 15 hours,COMMAND
The show will be on for 7 nights. Edit the duration to 8 nights,The show will be on for 7 nights. ,Edit the duration to 8 nights,COMMAND
The battery life lasts for 4 hours. Revise the duration to 5 hours,The battery life lasts for 4 hours. ,Revise the duration to 5 hours,COMMAND
The training program is designed to be completed within 6 months. Update the duration to 8 months,The training program is designed to be completed within 6 months. ,Update the duration to 8 months,COMMAND
The offer is valid for 3 days. Alter the duration to 4 days,The offer is valid for 3 days. ,Alter the duration to 4 days,COMMAND
The delivery time is estimated to be 2 business days. Change the duration to 3 business days,The delivery time is estimated to be 2 business days. ,Change the duration to 3 business days,COMMAND
The warranty on the product is for 1 year. Replace the duration to 2 years,The warranty on the product is for 1 year. ,Replace the duration to 2 years,COMMAND
The final exam is scheduled for the 15th of December at 10am.Change month to January,The final exam is scheduled for the 15th of December at 10am.,Change month to January,COMMAND
"The job fair will take place on the 22nd of October, from 10am to 2pm. Change date to 24th","The job fair will take place on the 22nd of October, from 10am to 2pm. ",Change date to 24th,COMMAND
The company's annual meeting is scheduled for the 30/02/2023 at 9am. Change 30/02/2023 to 29/02/2023,The company's annual meeting is scheduled for the 30/02/2023 at 9am. ,Change 30/02/2023 to 29/02/2023,COMMAND
The release date for the new movie is set for the 12th of June. Alter date to 15th,The release date for the new movie is set for the 12th of June. ,Alter date to 15th,COMMAND
The last day to submit the application is 30th of November. Modify date to 28th,The last day to submit the application is 30th of November. ,Modify date to 28th,COMMAND
The sports tournament is going to be held on 7th of August. Change 7th to 8th,The sports tournament is going to be held on 7th of August. ,Change 7th to 8th,COMMAND
The vacation will start on 1st of January for two weeks. Change date to 2nd,The vacation will start on 1st of January for two weeks. ,Change date to 2nd,COMMAND
The train is scheduled to arrive in 20 minutes.Change arrival time to 30 minutes,The train is scheduled to arrive in 20 minutes.,Change arrival time to 30 minutes,COMMAND
Let's aim to finish this project by 8pm tonight.Alter time to 9 pm,Let's aim to finish this project by 8pm tonight.,Alter time to 9 pm,COMMAND
"It's almost 8am now, we should leave in about 45 minutes. Modify time to 10 pm","It's almost 8am now, we should leave in about 45 minutes. ",Modify time to 10 pm,COMMAND
"The store closes at 9pm, so we should leave by 8pm. Change closing time 8:30","The store closes at 9pm, so we should leave by 8pm. ",Change closing time 8:30,COMMAND
"The flight is scheduled to take off at 3pm, and will arrive at destination at 6pm. Update destination time to 5:30 pm","The flight is scheduled to take off at 3pm, and will arrive at destination at 6pm. ",Update destination time to 5:30 pm,COMMAND
The show starts at 8pm sharp and ends at 11pm. Change show starting time to 9pm,The show starts at 8pm sharp and ends at 11pm. ,Change show starting time to 9pm,COMMAND
The package will arrive today at 4 pm. Change 4 pm to 5 pm,The package will arrive today at 4 pm. ,Change 4 pm to 5 pm,COMMAND
The submission date is 14th of April at 10am. Edit submission to 10:30 am,The submission date is 14th of April at 10am. ,Edit submission to 10:30 am,COMMAND
The contest ends at 12 pm sharp. Swap 12 pm with 1 pm,The contest ends at 12 pm sharp. ,Swap 12 pm with 1 pm,COMMAND
The screening of the movie starts at 8:30 pm. Change starting time to 9:00pm,The screening of the movie starts at 8:30 pm. ,Change starting time to 9:00pm,COMMAND
My son will turn 21 this year and he is currently studying 2nd year in BMSCEChange age from 21 to 22,My son will turn 21 this year and he is currently studying 2nd year in BMSCE,Change age from 21 to 22,COMMAND
This building was built almost 2 years back.Update age to 3 years,This building was built almost 2 years back.,Update age to 3 years,COMMAND
This fort holds a history of 500 years and was used mainly for military purpose.Correct the age to 450,This fort holds a history of 500 years and was used mainly for military purpose.,Correct the age to 450,COMMAND
"Sorry I forgot to wish you for your 20th birthday, Happy birthday.Modify the age to 21","Sorry I forgot to wish you for your 20th birthday, Happy birthday.",Modify the age to 21,COMMAND
"According to Indian Motor License, to obtain driving license you must have crossed 16 years.Revise the age to 18 years","According to Indian Motor License, to obtain driving license you must have crossed 16 years.",Revise the age to 18 years,COMMAND
It’s illegal to drink until you have crossed an age limit of 18 years.Amend the limit to 21 years,It’s illegal to drink until you have crossed an age limit of 18 years.,Amend the limit to 21 years,COMMAND
It has already been 3 years since I have bought this phone.Convert the age to 4 years,It has already been 3 years since I have bought this phone.,Convert the age to 4 years,COMMAND
"The age of the puppy I bought, is almost 5 months nowChange the age to 8 months","The age of the puppy I bought, is almost 5 months now",Change the age to 8 months,COMMAND
I passed my BE when I was 21 years oldRewrite the age to 22 years,I passed my BE when I was 21 years old,Rewrite the age to 22 years,COMMAND
At age of 14 my fathers learned me how to drive a motor cycle.Change the age to 15 years,At age of 14 my fathers learned me how to drive a motor cycle.,Change the age to 15 years,COMMAND
It almost takes 2 hours to travel from Bangalore to MysoreAlter the destination to Ramanagara,It almost takes 2 hours to travel from Bangalore to Mysore,Alter the destination to Ramanagara,COMMAND
"The event will be organized in XYZ City, please attend the event along with your familyUpdate the city to ABC","The event will be organized in XYZ City, please attend the event along with your family",Update the city to ABC,COMMAND
They say Osaka in Japan is the most safest city in the world.Substitute Osaka with Tokyo,They say Osaka in Japan is the most safest city in the world.,Substitute Osaka with Tokyo,COMMAND
"To reach Delhi, you should get down at Bangalore and catch another plane.Change the intermediate station to Patna","To reach Delhi, you should get down at Bangalore and catch another plane.",Change the intermediate station to Patna,COMMAND
I used to live in Bangalore when I was working in InfosysReplace the city with Hyderabad,I used to live in Bangalore when I was working in Infosys,Replace the city with Hyderabad,COMMAND
New York is the most crowded city in the worldSwap New York with Tokyo,New York is the most crowded city in the world,Swap New York with Tokyo,COMMAND
The venue of the event is at ABC cityChange the venue to FFF,The venue of the event is at ABC city,Change the venue to FFF,COMMAND
Bangalore is unbeaten in terms of weather condition and safety in IndiaChange the city to Mysore,Bangalore is unbeaten in terms of weather condition and safety in India,Change the city to Mysore,COMMAND
In order to reach the destination you should climb train at BangaloreCorrect the city to Hassan,In order to reach the destination you should climb train at Bangalore,Correct the city to Hassan,COMMAND
"For a better experience you should travel, Bangalore to Mysore by trainChange the source to Mangalore","For a better experience you should travel, Bangalore to Mysore by train",Change the source to Mangalore,COMMAND
Color theme for the upcoming event is blue and it is mandatoryChange the color to red,Color theme for the upcoming event is blue and it is mandatory,Change the color to red,COMMAND
Blue color butterflies are so beautiful and are so mesmorizing to watch themReplace the blue color with green,Blue color butterflies are so beautiful and are so mesmorizing to watch them,Replace the blue color with green,COMMAND
Lavender flower has a light shade of redChange the color to violet,Lavender flower has a light shade of red,Change the color to violet,COMMAND
Orange will still be orange in color if it is ripenedConvert the color to green,Orange will still be orange in color if it is ripened,Convert the color to green,COMMAND
The main color them of your website should have purple color with secondary color as violetAlter main color to blue,The main color them of your website should have purple color with secondary color as violet,Alter main color to blue,COMMAND
Your outfit would have been better if you have wore dark blue shirtSubstitute dark color with light color.,Your outfit would have been better if you have wore dark blue shirt,Substitute dark color with light color.,COMMAND
The color of heat emitting body is represented by orange in thermoscope.Swap orange color with red,The color of heat emitting body is represented by orange in thermoscope.,Swap orange color with red,COMMAND
The free acid turns red litmus to a claret color.Replace red with blue,The free acid turns red litmus to a claret color.,Replace red with blue,COMMAND
"The pure metal is grey in color, is very ductile, and becomes remarkably hard when hammered, a diamond drill making little impression upon it.Change the color to silver-white","The pure metal is grey in color, is very ductile, and becomes remarkably hard when hammered, a diamond drill making little impression upon it.",Change the color to silver-white,COMMAND
Cars with gold color is everyone’s dreamAmend color to red,Cars with gold color is everyone’s dream,Amend color to red,COMMAND
The event the company is organizing has been an elite industry for 4 years straightReplace 4 years with 6 years,The event the company is organizing has been an elite industry for 4 years straight,Replace 4 years with 6 years,COMMAND
"Maybe you should have dropped and studied for NEET, 2 years back.Change 2 years to 1 year","Maybe you should have dropped and studied for NEET, 2 years back.",Change 2 years to 1 year,COMMAND
Please increase my project deadline duration by 2 months at least.Revise the duration by 3 months,Please increase my project deadline duration by 2 months at least.,Revise the duration by 3 months,COMMAND
It almost takes 3 hours time to reach from Bangalore to the event venueUpdate the time to 4 hours,It almost takes 3 hours time to reach from Bangalore to the event venue,Update the time to 4 hours,COMMAND
The fest in our college will be held for 5 daysEdit the number of days to 6,The fest in our college will be held for 5 days,Edit the number of days to 6,COMMAND
I can complete the allotted work within 2 monthsRevise the duration to 3 months,I can complete the allotted work within 2 months,Revise the duration to 3 months,COMMAND
One should wait at least 5 months to avail driving license if he has learning licenseUpdate the duration to 6 months,One should wait at least 5 months to avail driving license if he has learning license,Update the duration to 6 months,COMMAND
Almost 6 trains pass by the platform in 1 hours.Alter the duration by 2 hours,Almost 6 trains pass by the platform in 1 hours.,Alter the duration by 2 hours,COMMAND
The meeting duration would be 2 hours and will be held in platinum jubileeChange the duration to 1.5 hrs,The meeting duration would be 2 hours and will be held in platinum jubilee,Change the duration to 1.5 hrs,COMMAND
I have lived in this city for 2 years and I think I know each road.Replace the years to 4 years,I have lived in this city for 2 years and I think I know each road.,Replace the years to 4 years,COMMAND
The gmeet will be scheduled on 7th of May and at 6pmModify the date to 8 th May,The gmeet will be scheduled on 7th of May and at 6pm,Modify the date to 8 th May,COMMAND
The event is going to happen at 1 st of every month and for 2 hoursAlter the date to 2nd,The event is going to happen at 1 st of every month and for 2 hours,Alter the date to 2nd,COMMAND
The admission for the BMSCE college will open at 10th of DecemberUpdate the day to 12,The admission for the BMSCE college will open at 10th of December,Update the day to 12,COMMAND
The event which was to be held on 13 of this moth will be postponed to 15thModify the new date to 18th,The event which was to be held on 13 of this moth will be postponed to 15th,Modify the new date to 18th,COMMAND
The doctor has asked me to visit his clinic at 12th of Jan for normal checkupRevise the date to 15th Jan,The doctor has asked me to visit his clinic at 12th of Jan for normal checkup,Revise the date to 15th Jan,COMMAND
9th August 1945 marks the worst day for Hiroshima and NagasakiCorrect the date to 10th August 1956,9th August 1945 marks the worst day for Hiroshima and Nagasaki,Correct the date to 10th August 1956,COMMAND
My project deadline is 12/12/2022 and I should hurry upAlter the deadline to 20/12/2022,My project deadline is 12/12/2022 and I should hurry up,Alter the deadline to 20/12/2022,COMMAND
I have left this company at 10/3/2022 due to poor wagesChange the date to 19/2/2022,I have left this company at 10/3/2022 due to poor wages,Change the date to 19/2/2022,COMMAND
Today’s date is 15/4/2023Correct the date to 19/4/2023,Today’s date is 15/4/2023,Correct the date to 19/4/2023,COMMAND
It’s almost 9 past 10 in the clockModify hours time to 10,It’s almost 9 past 10 in the clock,Modify hours time to 10,COMMAND
Please arrive to this hotel at 2 pm for lunchConvert time to 1pm,Please arrive to this hotel at 2 pm for lunch,Convert time to 1pm,COMMAND
The meeting will start at 4 pm and will continue till 8pmChange start time to 6pm,The meeting will start at 4 pm and will continue till 8pm,Change start time to 6pm,COMMAND
Humans at least need 30 seconds to get update to dark from lightChange time to 40 seconds,Humans at least need 30 seconds to get update to dark from light,Change time to 40 seconds,COMMAND
I should start getting up early in the morning that is at 6 amAlter the time to 5 am,I should start getting up early in the morning that is at 6 am,Alter the time to 5 am,COMMAND
The bus will arrive exactly 10 mins from nowCorrect the time to 20 mins,The bus will arrive exactly 10 mins from now,Correct the time to 20 mins,COMMAND
Try to complete the work by 10pm todayRevise the time by 11pm,Try to complete the work by 10pm today,Revise the time by 11pm,COMMAND
It’s almost 6pm now they will arrive here by 2 hoursChange the current time to 8pm,It’s almost 6pm now they will arrive here by 2 hours,Change the current time to 8pm,COMMAND
Paris is located in FranceChange the country to Italy,Paris is located in France,Change the country to Italy,COMMAND
I used to work in USA as software engineer in MicrosoftChange country to Germany,I used to work in USA as software engineer in Microsoft,Change country to Germany,COMMAND
It is proved that most of the Americans consume fast foodChange the country to Italians,It is proved that most of the Americans consume fast food,Change the country to Italians,COMMAND
Sushi is the popular dish originated in China and is madeModify the country to Japan,Sushi is the popular dish originated in China and is made,Modify the country to Japan,COMMAND
A Nigerian Kid has applied for admission in our college for BEAlter Nigerian to American,A Nigerian Kid has applied for admission in our college for BE,Alter Nigerian to American,COMMAND
Chess also called as Chaturanga was originated at NepalChange country to India,Chess also called as Chaturanga was originated at Nepal,Change country to India,COMMAND
Microsoft is an USA originated Product based Multi National CompanyChange the country to England,Microsoft is an USA originated Product based Multi National Company,Change the country to England,COMMAND
He was travelling from North Korea to JapanChange Source to South Korea,He was travelling from North Korea to Japan,Change Source to South Korea,COMMAND
Pasta has been everyone’s favourite dish originated at SpainChange Country to Italy,Pasta has been everyone’s favourite dish originated at Spain,Change Country to Italy,COMMAND
Ramesh has borrowed almost 5 lakhs from bank and need to repay by 2 yearsAlter the amount to 6 lakhs,Ramesh has borrowed almost 5 lakhs from bank and need to repay by 2 years,Alter the amount to 6 lakhs,COMMAND
ABC company have almost invested 1000 cr rupees on this projectUpdate the amount to 900 cr rupees,ABC company have almost invested 1000 cr rupees on this project,Update the amount to 900 cr rupees,COMMAND
"Your account balance is fetched, it’s 250 rs and 50 paisaModify 250 rs to 500","Your account balance is fetched, it’s 250 rs and 50 paisa",Modify 250 rs to 500,COMMAND
10rs as of now would be 20rs after 2 years due to inflationSubstitute later amount to 18rs,10rs as of now would be 20rs after 2 years due to inflation,Substitute later amount to 18rs,COMMAND
1$ is almost 80rs in Indian currencyChange 80rs to 85rs,1$ is almost 80rs in Indian currency,Change 80rs to 85rs,COMMAND
The bus fare to travel from Bangalore to Mysore is 200rs onlyChange the fare change to 300rs,The bus fare to travel from Bangalore to Mysore is 200rs only,Change the fare change to 300rs,COMMAND
Difference between train and bus fare is 100rs to travel to XYZModify the difference value to 150 rs,Difference between train and bus fare is 100rs to travel to XYZ,Modify the difference value to 150 rs,COMMAND
Entry fee for the amusement park has been increased by 200 rs for the adultsCorrect the amount to 300rs,Entry fee for the amusement park has been increased by 200 rs for the adults,Correct the amount to 300rs,COMMAND
"A software engineer on an average in India can earn up to 50,000 rs per month.Update the income by 60,000rs","A software engineer on an average in India can earn up to 50,000 rs per month.","Update the income by 60,000rs",COMMAND
The number of roosters domesticated by the farmer is 20Change the count to 30,The number of roosters domesticated by the farmer is 20,Change the count to 30,COMMAND
JEE is being conducted 2 times a year to provide opportunities for the studentModify number to 3 times,JEE is being conducted 2 times a year to provide opportunities for the student,Modify number to 3 times,COMMAND
To reach destination the bus will at least stop at 10 bus stops at middle.Update count to 13,To reach destination the bus will at least stop at 10 bus stops at middle.,Update count to 13,COMMAND
The number plate of my car ends with 37Substitute the number to 34,The number plate of my car ends with 37,Substitute the number to 34,COMMAND
The value of pi is constant and it’s value is 3.3Revise the value to 3.14,The value of pi is constant and it’s value is 3.3,Revise the value to 3.14,COMMAND
Number of sides in a quadrilateral is 6Alter the count to 4,Number of sides in a quadrilateral is 6,Alter the count to 4,COMMAND
Benzene is a hydrocarbon compound and it has 7carbon’sModify carbon count to 6,Benzene is a hydrocarbon compound and it has 7carbon’s,Modify carbon count to 6,COMMAND
"There are almost 5 people in the queue, I think it might take time so that I can get my turnChange number of people to 7","There are almost 5 people in the queue, I think it might take time so that I can get my turn",Change number of people to 7,COMMAND
You should mix milk and sugar with 10:1 ratio and it can be differedCorrect the ratio to 12:1,You should mix milk and sugar with 10:1 ratio and it can be differed,Correct the ratio to 12:1,COMMAND
Almost 90% of the students wont be attending the classes due to phase shift preparationChange percentage to 95%,Almost 90% of the students wont be attending the classes due to phase shift preparation,Change percentage to 95%,COMMAND
I have got 95% in my SSLC ExamModify percentage to 96.32%,I have got 95% in my SSLC Exam,Modify percentage to 96.32%,COMMAND
His score has been improved by 95% ever since he joined the tuitionCorrect the percentage to 96%,His score has been improved by 95% ever since he joined the tuition,Correct the percentage to 96%,COMMAND
The percentage between class topper and second topper deferred by only 1%Alter difference to 0.5%,The percentage between class topper and second topper deferred by only 1%,Alter difference to 0.5%,COMMAND
The interest lended is compounded with the interest of atleast 6%Substitute  the intereset to 7%,The interest lended is compounded with the interest of atleast 6%,Substitute  the intereset to 7%,COMMAND
The probability that a coin will show up when a coin is tossed is 40%Change the percentage to 50%,The probability that a coin will show up when a coin is tossed is 40%,Change the percentage to 50%,COMMAND
Rakesh was given an salary hike of 10% of the previous incomeRevise the percentage to 12%,Rakesh was given an salary hike of 10% of the previous income,Revise the percentage to 12%,COMMAND
The percentage of rejected silver is often no more than 7%.Modify percentage to 10%,The percentage of rejected silver is often no more than 7%.,Modify percentage to 10%,COMMAND
Rakesh brother’s name was sanjayRevise brother name to Rakshith,Rakesh brother’s name was sanjay,Revise brother name to Rakshith,COMMAND
Mrs Meenakshi was history class teacher for us during 10th stdSubstitute name to gayatri,Mrs Meenakshi was history class teacher for us during 10th std,Substitute name to gayatri,COMMAND
Hari was the father of GaganModify the father name to suraj,Hari was the father of Gagan,Modify the father name to suraj,COMMAND
You should contact Mr Raj to know more about the contact details regarding HRChange name to Fazir,You should contact Mr Raj to know more about the contact details regarding HR,Change name to Fazir,COMMAND
Suresh was maths class teacher for us during 10th stdCorrect name to Lokesh,Suresh was maths class teacher for us during 10th std,Correct name to Lokesh,COMMAND
Harish was the main actor that acted in the filmAlter the name to Guna,Harish was the main actor that acted in the film,Alter the name to Guna,COMMAND
"Here is the phone number for the nearest pizzeria, 989-898-9989Change the number to 878-787-8787","Here is the phone number for the nearest pizzeria, 989-898-9989",Change the number to 878-787-8787,COMMAND
"Please take my phone number, 990-348-8345Correct last 2 digits to 34","Please take my phone number, 990-348-8345",Correct last 2 digits to 34,COMMAND
Rakesh has changed his number from 676-767-8667 to 878-788-7878Substitute last 2 digits to 76,Rakesh has changed his number from 676-767-8667 to 878-788-7878,Substitute last 2 digits to 76,COMMAND
I have updated my number from 45454545 to 898-989-899Modify the new number to 676-767-0677,I have updated my number from 45454545 to 898-989-899,Modify the new number to 676-767-0677,COMMAND
"If you want rakesh phone number I have it, it’s 676-767-7676Alter the phone number to 999-999-8899","If you want rakesh phone number I have it, it’s 676-767-7676",Alter the phone number to 999-999-8899,COMMAND
If you want to book cake in sweet shop please dial 455-554-6444Correct the number to 787-87-8878,If you want to book cake in sweet shop please dial 455-554-6444,Correct the number to 787-87-8878,COMMAND
"Yoga, an ancient practice originated in Nepal and is known for its physical and mental benefits.Change country to India","Yoga, an ancient practice originated in Nepal and is known for its physical and mental benefits.",Change country to India,COMMAND
Paris is the capital of Spain Update Paris to Madrid,Paris is the capital of Spain ,Update Paris to Madrid,COMMAND
I've previously worked as an engineer at Toyota in Japan Change Country to China,I've previously worked as an engineer at Toyota in Japan ,Change Country to China,COMMAND
The kimchi is a popular dish originated in Korea and is made with fermented vegetables. Alter Korea to South Korea,The kimchi is a popular dish originated in Korea and is made with fermented vegetables. ,Alter Korea to South Korea,COMMAND
The famous Pyramids of Giza are located in Africa. Correct the country to Egypt,The famous Pyramids of Giza are located in Africa. ,Correct the country to Egypt,COMMAND
I've worked as a teacher in China before. Replace China with India,I've worked as a teacher in China before. ,Replace China with India,COMMAND
"Soccer, also known as football, is a popular sport originated in France. Change country to England","Soccer, also known as football, is a popular sport originated in France. ",Change country to England,COMMAND
He saved $500 by couponing and budgeting himself. Change $500 to 1000 dollars,He saved $500 by couponing and budgeting himself. ,Change $500 to 1000 dollars,COMMAND
The government spent $50 million on infrastructure. Increase $50 million to 65 million,The government spent $50 million on infrastructure. ,Increase $50 million to 65 million,COMMAND
She made $50 an hour as a freelancer. Alter $50 to $60,She made $50 an hour as a freelancer. ,Alter $50 to $60,COMMAND
He invested ten thousand ruppee in a diverse portfolio himself. Change ₹10000 into ₹20000,He invested ten thousand ruppee in a diverse portfolio himself. ,Change ₹10000 into ₹20000,COMMAND
The company lost $1 million due to mismanagement. Change money to $2 million,The company lost $1 million due to mismanagement. ,Change money to $2 million,COMMAND
Can I please borrow 500 dollars from you? Change 500 dollars to 100 dollars.,Can I please borrow 500 dollars from you? ,Change 500 dollars to 100 dollars.,COMMAND
I bought a phone for ₹15000. Change money to ₹10000,I bought a phone for ₹15000. ,Change money to ₹10000,COMMAND
"Originally priced at $29, the sweater was sold for five dollars. Change $5 to $7","Originally priced at $29, the sweater was sold for five dollars. ",Change $5 to $7,COMMAND
He removed a hundred dollar bill from his money clip. Change money to two hundred dollar,He removed a hundred dollar bill from his money clip. ,Change money to two hundred dollar,COMMAND
We have no money. Change money to time,We have no money. ,Change money to time,COMMAND
The number of days in a week are 7. Adjust the number to 5.,The number of days in a week are 7. ,Adjust the number to 5.,COMMAND
"In soccer, the number of players on the field are 11.Alter the number to 9.","In soccer, the number of players on the field are 11.",Alter the number to 9.,COMMAND
The number of known planets in our solar system is 8. Adjust it to 9.,The number of known planets in our solar system is 8. ,Adjust it to 9.,COMMAND
Carbon atom has 6 electrons. Modify the number to 8,Carbon atom has 6 electrons. ,Modify the number to 8,COMMAND
A trumpet has 3 valves. Adjust the number to 4,A trumpet has 3 valves. ,Adjust the number to 4,COMMAND
"In a classification problem, the number of groups are 5. Modify the number to 3","In a classification problem, the number of groups are 5. ",Modify the number to 3,COMMAND
The enrollment rate for the program has dropped by 85% in the past year. Change percentage to 80 percent,The enrollment rate for the program has dropped by 85% in the past year. ,Change percentage to 80 percent,COMMAND
The company's market share in the industry has increased by 12% in the last quarter. Increase percentage is 14 percent,The company's market share in the industry has increased by 12% in the last quarter. ,Increase percentage is 14 percent,COMMAND
The student's exam scores have improved by 20% since the new teaching method was implemented. Decrease percentage to 15%,The student's exam scores have improved by 20% since the new teaching method was implemented. ,Decrease percentage to 15%,COMMAND
The difference in the number of votes between the first and second place candidate was only 3%. Modify percentage to 5%,The difference in the number of votes between the first and second place candidate was only 3%. ,Modify percentage to 5%,COMMAND
The return on investment for the project is projected to be at least 9%. Update percentage to 12%,The return on investment for the project is projected to be at least 9%. ,Update percentage to 12%,COMMAND
The company is offering a discount of 25% on all products. Change percentage to 20 percent,The company is offering a discount of 25% on all products. ,Change percentage to 20 percent,COMMAND
The student's grade point average has improved by 0.5% from last semester Revise the percentage to 1.2%,The student's grade point average has improved by 0.5% from last semester ,Revise the percentage to 1.2%,COMMAND
The company's stock price increased by 8% in the past quarter. Edit percentage to 10%,The company's stock price increased by 8% in the past quarter. ,Edit percentage to 10%,COMMAND
The percentage of carbon emissions has been reduced by 10% in the last year. Swap 10% with 15%,The percentage of carbon emissions has been reduced by 10% in the last year. ,Swap 10% with 15%,COMMAND
My sister's name is Priya Change name to Laksha,My sister's name is Priya ,Change name to Laksha,COMMAND
Dr. Gupta was our Physics teacher during 12th std Modify teacher to Verma,Dr. Gupta was our Physics teacher during 12th std ,Modify teacher to Verma,COMMAND
John is the CEO of the company Change CEO to Jack,John is the CEO of the company ,Change CEO to Jack,COMMAND
You should talk to Ms. Patel for more information on the marketing campaign Alter name to Gupta,You should talk to Ms. Patel for more information on the marketing campaign ,Alter name to Gupta,COMMAND
Mr. Khanna was my English teacher in college Change name to Anand,Mr. Khanna was my English teacher in college ,Change name to Anand,COMMAND
My cousin's name is Rohit Correct the name to Sriram,My cousin's name is Rohit ,Correct the name to Sriram,COMMAND
Professor Smith taught me Computer Science in university Change professor to John,Professor Smith taught me Computer Science in university ,Change professor to John,COMMAND
Sarah is the HR manager at our company Update name to Aman,Sarah is the HR manager at our company ,Update name to Aman,COMMAND
You should contact Mr. Singh for more information about the project deadline Change name to Mr. Kumar,You should contact Mr. Singh for more information about the project deadline ,Change name to Mr. Kumar,COMMAND
My brother's name is Raj Revise the name to Vikas,My brother's name is Raj ,Revise the name to Vikas,COMMAND
Jack is the CFO of the company Update CFO to Elon,Jack is the CFO of the company ,Update CFO to Elon,COMMAND
You should talk to Ms. Williams for more information on the company's policy Change name to Ms. James,You should talk to Ms. Williams for more information on the company's policy ,Change name to Ms. James,COMMAND
Mr. Rodriguez was my Spanish teacher in college Alter teacher name to Peter,Mr. Rodriguez was my Spanish teacher in college ,Alter teacher name to Peter,COMMAND
"I've updated my contact information, my new number is 89898989. Modify phone number to 987654321","I've updated my contact information, my new number is 89898989. ",Modify phone number to 987654321,COMMAND
